# ID            RA_HMS        DEC_DMS        z       R       G_minus_R   U_minus_G  Ks   J_minus_Ks    Exposure_time
CDFb-BN88       00:53:52.87   +12:23:51.25   2.2615  23.14   0.29        0.68       nan      nan       "12 \times 720"
HDF-BX1055      12:35:59.59   +62:13:07.50   2.4899  24.09   0.24        0.81       nan      nan       "2 \times 900"
HDF-BX1084      12:36:13.57   +62:12:21.48   2.4403  23.24   0.26        0.72       nan      nan       "5 \times 900"
HDF-BX1085      12:36:13.33   +62:12:16.31   2.2407  24.50   0.33        0.87       nan      nan       "5 \times 900"
HDF-BX1086      12:36:13.41   +62:12:18.84   2.4435  24.64   0.41        1.09       nan      nan       "5 \times 900"
HDF-BX1277      12:37:18.59   +62:09:55.54   2.2713  23.87   0.14        0.61       21.26    0.73      "3 \times 900"
HDF-BX1303      12:37:11.20   +62:11:18.67   2.3003  24.72   0.11        0.81       21.03    2.31      "2 \times 900"
HDF-BX1311      12:36:30.54   +62:16:26.12   2.4843  23.29   0.21        0.81       20.48    1.56      "4 \times 900"
HDF-BX1322      12:37:06.54   +62:12:24.94   2.4443  23.72   0.31        0.57       20.95    2.16      "6 \times 900"
HDF-BX1332      12:37:17.13   +62:11:39.95   2.2136  23.64   0.32        0.92       20.68    1.77      "3 \times 900"
HDF-BX1368      12:36:48.24   +62:15:56.24   2.4407  23.79   0.30        0.96       20.63    1.81      "4 \times 900"
HDF-BX1376      12:36:52.96   +62:15:45.55   2.4294  24.48   0.01        0.70       22.13    1.02      "4 \times 900"
HDF-BX1388      12:36:44.84   +62:17:15.84   2.0317  24.55   0.27        0.99       19.95    1.78      "2 \times 900"
HDF-BX1397      12:37:04.12   +62:15:09.84   2.1328  24.12   0.14        0.76       20.87    1.08      "3 \times 900"
HDF-BX1409      12:36:47.41   +62:17:28.70   2.2452  24.66   0.49        1.17       20.07    2.31      "2 \times 900"
HDF-BX1439      12:36:53.66   +62:17:24.27   2.1865  23.90   0.26        0.79       19.72    2.16      "4 \times 900"
HDF-BX1479      12:37:15.42   +62:16:03.88   2.3745  24.39   0.16        0.79       21.30    1.57      "5 \times 900"
HDF-BX1564      12:37:23.47   +62:17:20.02   2.2225  23.28   0.27        1.01       19.62    1.69      "2 \times 900"
HDF-BX1567      12:37:23.17   +62:17:23.89   2.2256  23.50   0.18        1.05       20.18    1.23      "2 \times 900"
HDF-BX305       12:36:37.13   +62:16:28.36   2.4839  24.28   0.79        1.30       20.14    2.59      "4 \times 900"
HDF-BMZ1156     12:37:04.34   +62:14:46.28   2.2151  24.62   -0.01       -0.21      20.33    1.71      "4 \times 900"
Q0201-B13       02:03:49.25   +11:36:10.58   2.1663  23.34   0.02        0.69       nan      nan       "16 \times 720"
Q1307-BM1163    13:08:18.04   +29:23:19.34   1.4105  21.66   0.20        0.35       nan      nan       "2 \times 900"
Q1623-BX151     16:25:29.61   +26:53:45.01   2.4393  24.60   0.14        0.88       nan      nan       "2 \times 900"
Q1623-BX214     16:25:33.67   +26:53:53.52   2.4700  24.06   0.39        1.12       nan      nan       "4 \times 900"
Q1623-BX215     16:25:33.80   +26:53:50.66   2.1814  24.45   0.26        0.53       nan      nan       "4 \times 900"
Q1623-BX252     16:25:36.96   +26:45:54.86   2.3367  25.06   0.07        0.55       nan      nan       "3 \times 900"
Q1623-BX274     16:25:38.20   +26:45:57.14   2.4100  23.23   0.25        0.89       nan      nan       "3 \times 900"
Q1623-BX344     16:25:43.93   +26:43:41.98   2.4224  24.42   0.39        1.25       nan      nan       "2 \times 900"
Q1623-BX366     16:25:45.09   +26:43:46.95   2.4204  23.84   0.41        1.03       nan      nan       "2 \times 900"
Q1623-BX376     16:25:45.59   +26:46:49.26   2.4085  23.31   0.24        0.75       20.84    1.61      "4 \times 900"
Q1623-BX428     16:25:48.41   +26:47:40.20   2.0538  23.95   0.13        1.06       20.72    1.02      "4 \times 900"
Q1623-BX429     16:25:48.65   +26:45:14.47   2.0160  23.63   0.12        0.56       20.94    1.46      "2 \times 900"
Q1623-BX432     16:25:48.73   +26:46:47.28   2.1817  24.58   0.10        0.53       21.48    1.76      "4 \times 900"
